timestamp,N,P,K,humidity,soil_pH,temperature,crop_name
2024-07-13 00:00:00,95.837,45.404,91.707,73.678,7.14,25.802,Rice
2024-07-13 00:05:00,112.348,44.259,91.71,70.799,6.682,30.138,Rice
2024-07-13 00:10:00,101.197,51.185,87.598,70.197,6.322,32.252,Rice
2024-07-13 00:15:00,103.904,50.224,98.256,85.006,6.053,27.537,Rice
2024-07-13 00:20:00,83.535,43.6,94.274,84.051,6.396,24.268,Rice
2024-07-13 00:25:00,89.384,49.518,90.178,79.683,6.342,26.464,Rice
2024-07-13 00:30:00,111.879,55.593,87.743,86.061,6.916,24.895,Rice
2024-07-13 00:35:00,113.995,47.769,86.981,84.729,6.727,31.134,Rice
2024-07-13 00:40:00,111.292,44.893,88.966,83.105,6.326,29.808,Rice
2024-07-13 00:45:00,95.205,52.484,92.569,76.492,6.721,24.592,Rice
2024-07-13 00:50:00,84.741,56.61,90.128,84.51,6.145,28.002,Rice
2024-07-13 00:55:00,104.209,49.654,96.079,88.069,6.497,35.806,Rice
2024-07-13 01:00:00,110.217,56.447,87.282,70.781,6.28,24.493,Rice
2024-07-13 01:05:00,106.203,57.229,84.444,71.429,6.557,32.702,Rice
2024-07-13 01:10:00,107.373,51.478,93.502,80.997,6.439,30.298,Rice
2024-07-13 01:15:00,85.001,43.255,98.016,75.619,7.074,28.05,Rice
2024-07-13 01:20:00,111.784,43.835,90.364,87.587,6.231,28.418,Rice
2024-07-13 01:25:00,83.34,56.129,90.165,87.227,6.043,29.673,Rice
2024-07-13 01:30:00,108.499,52.429,98.793,72.033,6.401,31.464,Rice
2024-07-13 01:35:00,98.715,51.428,83.774,75.092,6.379,30.239,Rice
2024-07-13 01:40:00,91.733,56.425,90.141,86.292,6.953,24.317,Rice
2024-07-13 01:45:00,86.092,56.531,98.067,74.53,6.84,34.752,Rice
2024-07-13 01:50:00,117.341,47.696,80.277,83.64,6.315,31.034,Rice
2024-07-13 01:55:00,98.586,40.317,81.981,88.243,6.215,26.649,Rice
2024-07-13 02:00:00,119.57,44.28,79.317,76.573,6.024,26.106,Rice
2024-07-13 02:05:00,112.88,54.173,87.969,74.512,6.344,30.188,Rice
2024-07-13 02:10:00,99.267,55.704,92.686,82.472,6.9,26.418,Rice
2024-07-13 02:15:00,109.668,56.578,101.43,77.863,6.094,25.171,Rice
2024-07-13 02:20:00,84.204,50.889,97.787,85.897,6.645,30.739,Rice
2024-07-13 02:25:00,113.501,53.314,99.769,88.236,6.441,32.736,Rice
2024-07-13 02:30:00,107.379,56.195,81.849,74.29,6.482,28.82,Rice
2024-07-13 02:35:00,115.711,49.004,81.761,80.385,6.32,26.402,Rice
2024-07-13 02:40:00,78.256,51.819,86.872,86.988,6.318,31.992,Rice
2024-07-13 02:45:00,88.158,57.438,83.138,72.59,6.361,25.29,Rice
2024-07-13 02:50:00,101.748,43.765,99.205,88.535,6.41,25.217,Rice
2024-07-13 02:55:00,104.224,57.06,80.935,83.4,6.197,34.563,Rice
2024-07-13 03:00:00,117.018,46.499,92.224,73.207,6.661,29.531,Rice
2024-07-13 03:05:00,117.316,47.299,96.738,74.835,7.027,28.907,Rice
2024-07-13 03:10:00,109.607,51.885,91.438,71.93,6.851,31.179,Rice
2024-07-13 03:15:00,90.978,50.759,89.398,80.655,6.851,26.122,Rice
2024-07-13 03:20:00,87.338,54.119,98.928,89.087,6.394,24.534,Rice
2024-07-13 03:25:00,102.622,56.62,96.674,70.77,6.354,30.209,Rice
2024-07-13 03:30:00,82.181,58.63,89.0,89.298,6.477,26.58,Rice
2024-07-13 03:35:00,81.484,58.544,93.577,78.836,6.439,29.508,Rice
2024-07-13 03:40:00,93.61,42.495,88.564,71.783,6.781,24.794,Rice
2024-07-13 03:45:00,93.77,41.613,83.378,84.992,5.884,29.781,Rice
2024-07-13 03:50:00,82.578,44.69,80.26,76.97,6.157,28.773,Rice
2024-07-13 03:55:00,93.693,55.899,87.129,74.171,6.514,25.505,Rice
2024-07-13 04:00:00,105.403,50.785,97.119,72.572,6.518,31.822,Rice
2024-07-13 04:05:00,114.618,59.244,98.168,91.684,6.613,32.471,Rice
2024-07-13 04:10:00,100.033,46.654,94.941,71.431,6.448,24.977,Rice
2024-07-13 04:15:00,112.542,51.536,85.337,80.492,6.384,32.01,Rice
2024-07-13 04:20:00,93.473,42.685,79.27,75.932,6.962,26.984,Rice
2024-07-13 04:25:00,85.073,44.921,88.243,78.567,6.971,29.987,Rice
2024-07-13 04:30:00,89.143,57.291,98.395,89.719,6.556,29.108,Rice
2024-07-13 04:35:00,102.284,41.401,91.387,74.362,6.745,27.992,Rice
2024-07-13 04:40:00,83.86,42.015,89.546,84.48,6.691,24.765,Rice
2024-07-13 04:45:00,83.361,59.762,84.773,75.963,6.683,26.573,Rice
2024-07-13 04:50:00,115.546,59.033,98.592,89.141,6.872,35.453,Rice
2024-07-13 04:55:00,111.851,49.52,84.349,88.463,6.806,27.45,Rice
2024-07-13 05:00:00,99.311,51.228,100.123,84.15,6.045,26.817,Rice
2024-07-13 05:05:00,102.314,41.962,100.001,83.886,6.394,27.519,Rice
2024-07-13 05:10:00,87.77,51.949,79.011,88.617,6.356,24.795,Rice
2024-07-13 05:15:00,114.626,59.788,97.608,73.771,6.7,27.048,Rice
2024-07-13 05:20:00,95.921,49.754,81.44,88.189,6.535,35.307,Rice
2024-07-13 05:25:00,103.643,50.446,87.858,80.271,6.836,27.663,Rice
2024-07-13 05:30:00,99.65,44.178,94.513,77.092,6.836,34.189,Rice
2024-07-13 05:35:00,85.693,49.468,88.878,79.283,5.987,34.458,Rice
2024-07-13 05:40:00,111.113,48.628,85.886,69.526,6.882,28.445,Rice
2024-07-13 05:45:00,117.039,47.057,83.273,79.428,6.085,31.775,Rice
2024-07-13 05:50:00,88.642,50.386,86.659,86.069,6.532,28.356,Rice
2024-07-13 05:55:00,111.463,51.561,96.403,76.823,6.673,33.242,Rice
2024-07-13 06:00:00,108.464,46.707,95.632,89.567,6.588,30.39,Rice
2024-07-13 06:05:00,85.743,53.596,94.632,71.217,6.755,28.683,Rice
2024-07-13 06:10:00,118.246,58.043,87.078,83.099,6.368,32.947,Rice
2024-07-13 06:15:00,105.452,40.549,95.506,81.609,6.504,36.301,Rice
2024-07-13 06:20:00,109.374,55.899,88.988,71.519,6.211,33.481,Rice
2024-07-13 06:25:00,116.18,53.68,93.429,87.264,6.718,30.336,Rice
2024-07-13 06:30:00,117.636,43.396,91.064,83.435,6.55,26.847,Rice
2024-07-13 06:35:00,84.011,47.712,93.885,71.927,6.235,24.993,Rice
2024-07-13 06:40:00,84.65,45.575,84.348,72.036,6.351,29.427,Rice
2024-07-13 06:45:00,115.381,53.592,81.544,83.574,6.764,30.384,Rice
2024-07-13 06:50:00,106.54,56.758,85.902,88.162,6.016,26.455,Rice
2024-07-13 06:55:00,117.444,50.684,92.355,79.45,6.166,26.637,Rice
2024-07-13 07:00:00,81.73,58.311,85.924,83.087,6.397,31.606,Rice
2024-07-13 07:05:00,105.876,59.313,89.054,78.426,6.278,30.262,Rice
2024-07-13 07:10:00,94.108,56.196,94.933,77.084,6.111,24.468,Rice
2024-07-13 07:15:00,102.159,59.682,97.345,77.666,6.401,34.76,Rice
2024-07-13 07:20:00,84.871,43.148,85.941,82.016,6.336,30.148,Rice
2024-07-13 07:25:00,113.652,58.948,97.921,77.747,6.343,29.753,Rice
2024-07-13 07:30:00,89.961,51.11,85.673,81.245,6.433,27.548,Rice
2024-07-13 07:35:00,91.767,51.529,94.467,79.389,6.078,29.747,Rice
2024-07-13 07:40:00,103.521,42.456,80.397,74.917,6.095,32.349,Rice
2024-07-13 07:45:00,107.222,42.303,85.105,90.349,6.0,34.352,Rice
2024-07-13 07:50:00,117.886,46.73,85.83,89.207,6.304,31.558,Rice
2024-07-13 07:55:00,89.212,48.649,89.691,72.287,6.81,30.959,Rice
2024-07-13 08:00:00,97.177,53.471,89.635,81.816,6.409,34.338,Rice
2024-07-13 08:05:00,100.962,38.789,85.901,84.407,6.304,29.401,Rice
2024-07-13 08:10:00,113.21,46.586,90.115,70.724,6.524,32.078,Rice
2024-07-13 08:15:00,87.448,58.718,84.43,76.503,6.479,30.36,Rice
2024-07-13 08:20:00,87.919,42.918,80.932,87.553,6.988,33.864,Rice
2024-07-13 08:25:00,114.962,60.443,83.66,74.808,6.559,32.522,Rice
2024-07-13 08:30:00,92.58,55.485,90.875,85.464,6.875,28.07,Rice
2024-07-13 08:35:00,103.222,48.589,101.211,89.858,6.822,28.33,Rice
2024-07-13 08:40:00,81.717,39.958,97.786,74.462,6.192,29.638,Rice
2024-07-13 08:45:00,86.873,56.227,96.852,70.012,6.752,27.427,Rice
2024-07-13 08:50:00,112.251,50.572,98.916,85.545,6.222,34.012,Rice
2024-07-13 08:55:00,113.372,42.751,82.278,88.025,6.374,29.941,Rice
2024-07-13 09:00:00,104.743,40.48,80.765,71.785,6.891,34.735,Rice
2024-07-13 09:05:00,99.971,53.31,87.071,77.01,6.682,25.594,Rice
2024-07-13 09:10:00,91.597,41.447,91.163,87.722,6.009,25.546,Rice
2024-07-13 09:15:00,85.129,44.515,97.135,78.249,6.516,31.646,Rice
2024-07-13 09:20:00,98.397,45.324,88.075,75.197,6.927,33.03,Rice
2024-07-13 09:25:00,117.413,44.434,80.682,88.564,7.048,31.86,Rice
2024-07-13 09:30:00,106.297,59.54,85.599,85.702,6.839,32.404,Rice
2024-07-13 09:35:00,89.454,51.701,96.346,69.343,5.888,30.461,Rice
2024-07-13 09:40:00,114.403,53.202,85.661,89.126,6.611,29.691,Rice
2024-07-13 09:45:00,86.039,56.78,84.362,87.63,6.307,34.654,Rice
2024-07-13 09:50:00,82.912,49.993,83.247,75.807,5.965,31.994,Rice
2024-07-13 09:55:00,85.172,56.226,90.41,78.796,6.487,27.25,Rice
2024-07-13 10:00:00,108.939,41.927,86.23,74.846,6.505,25.76,Rice
2024-07-13 10:05:00,86.163,56.946,86.107,78.203,6.692,29.991,Rice
2024-07-13 10:10:00,116.705,58.534,89.701,81.495,6.869,27.612,Rice
2024-07-13 10:15:00,114.531,55.855,97.195,74.45,6.033,29.915,Rice
2024-07-13 10:20:00,110.334,46.727,89.33,88.834,6.706,34.305,Rice
2024-07-13 10:25:00,97.495,49.92,97.763,74.429,6.8,28.745,Rice
2024-07-13 10:30:00,87.808,48.795,82.27,73.0,6.474,26.807,Rice
2024-07-13 10:35:00,86.98,43.495,93.015,78.653,6.967,33.706,Rice
2024-07-13 10:40:00,86.81,48.044,90.883,80.173,6.239,31.553,Rice
2024-07-13 10:45:00,104.5,48.79,87.598,89.713,6.89,27.794,Rice
2024-07-13 10:50:00,96.084,54.988,91.401,82.039,6.428,26.908,Rice
2024-07-13 10:55:00,118.789,59.318,83.285,84.985,6.475,26.136,Rice
2024-07-13 11:00:00,111.124,44.939,97.091,85.422,6.825,31.324,Rice
